id,creado_en,fecha_vencimiento,canal,texto_original,area,tema,intencion,estado,prioridad,longitud_texto,numero_palabras,tiene_pregunta,tiene_fecha,texto_limpio,texto_estandar,fecha_detectada,lugar,longitud_tokens,verbo_principal,cambios,es_ambiguo,es_fecha_default
48,09/05/2027,19/05/2027,Texto,Llamar a Luis por su cumple,Amistad,Salida con amigos,Tarea,Pendiente,4,27,6,0,0,llamar a luis por su cumple,Llamar a Luis por su cumpleaños.,2026-02-21T00:00:00,,8,Llamar,[],False,True
49,05/04/2027,17/04/2027,Voz,Organizar carne asada,Amistad,Salida con amigos,Nota,Pendiente,3,21,3,0,0,organizar carne asada,Organizar una carne asada,2026-02-21T00:00:00,,5,Organizar,[],False,True
50,06/05/2026,25/05/2026,Voz,Mandar mensaje al grupo,Amistad,Salida con amigos,Tarea,Pendiente,1,23,4,0,0,mandar mensaje al grupo,Mandar un mensaje al grupo.,2026-02-21T00:00:00,,7,Mandar,[],False,True
90,02/12/2027,14/12/2027,Voz,Evento | regalo,Amistad,Salida con amigos,Cita,Pendiente,4,15,3,0,0,evento regalo,Comprar un regalo.,2026-02-21T00:00:00,,4,Comprar,[],False,True
91,17/07/2026,19/07/2026,Texto,Sesion de regalos,Amistad,Salida con amigos,Cita,Pendiente,1,17,3,0,0,sesion de regalos,Iniciar sesión de regalos,2026-02-21T00:00:00,,5,Iniciar,[],False,True
107,12/05/2027,24/05/2027,Texto,Validar mi plan con amigas,Amistad,Salida con amigos,Tarea,Pendiente,4,26,5,0,0,validar mi plan con amigas,Validar el plan con amigas,2026-02-21T00:00:00,,6,Validar,[],False,True
118,15/08/2026,17/08/2026,Texto,Sesion | regalo,Amistad,Salida con amigos,Cita,Pendiente,4,15,3,0,0,sesion regalo,Agendar sesión de regalo.,2026-02-21T00:00:00,,5,Agendar,[],False,True
127,06/02/2026,14/02/2026,Texto,Hacer la regalo en el calendario,Amistad,Salida con amigos,Tarea,Pendiente,3,32,6,0,0,hacer la regalo en el calendario,Agregar el regalo al calendario,2026-02-21T00:00:00,,7,Agregar,"[""Reformulación de 'hacer la regalo' a 'Agregar el regalo'""]",False,True
157,04/09/2027,13/09/2027,Texto,Cita | cumpleanos,Amistad,Salida con amigos,Cita,Pendiente,2,17,3,0,0,cita cumpleanos,Agendar cita de cumpleaños.,2026-02-21T00:00:00,,5,Agendar,"[""Reformulación de 'cita cumpleanos' a 'cita de cumpleaños'.""]",False,True
173,14/09/2027,14/10/2027,Texto,Brain dump: regalo,Amistad,Salida con amigos,Nota,Pendiente,3,18,3,0,0,brain dump: regalo,Comprar un regalo.,2026-02-21T00:00:00,,4,Comprar,[],False,True
197,12/01/2026,31/01/2026,foto,Brain dump: regalo,Amistad,Salida con amigos,Nota,Pendiente,1,18,3,0,0,brain dump: regalo,Comprar un regalo,2026-02-21T00:00:00,,4,Comprar,[],False,True
211,03/01/2027,01/02/2027,Voz,Definir: plan con amigas,Amistad,Salida con amigos,Nota,Pendiente,1,24,4,0,0,definir: plan con amigas,Definir un plan con amigas,2026-02-21T00:00:00,,6,Definir,[],False,True
219,03/08/2027,29/08/2027,Texto,Llamar mi regalos en Notion,Amistad,Salida con amigos,Tarea,Pendiente,3,27,5,0,0,llamar mi regalos en notion,Llamar para recoger mis regalos en Notion.,2026-02-21T00:00:00,Notion,10,Llamar,"['Reformulación para mayor claridad', 'Corrección de gramática']",False,True
307,10/03/2026,02/04/2026,Texto,Pendiente por decidir: regalo,Amistad,Salida con amigos,Nota,Pendiente,1,29,4,0,0,pendiente por decidir: regalo,Decidir el regalo,2026-02-21T00:00:00,,4,Decidir,['Reformulación para mayor claridad'],True,True
358,28/10/2027,06/11/2027,Texto,Cita: plan con amigas,Amistad,Salida con amigos,Cita,Pendiente,1,21,4,0,0,cita: plan con amigas,Agendar una cita con amigas,2026-02-21T00:00:00,,6,Agendar,"[""Reformulación de 'cita: plan con amigas' a 'Agendar una cita con amigas'""]",False,True
415,05/04/2027,28/04/2027,Texto,Responder mi regalo con checklist,Amistad,Salida con amigos,Tarea,Pendiente,4,33,5,0,0,responder mi regalo con checklist,Responder el regalo con un checklist.,2026-02-21T00:00:00,,8,Responder,"[""Se agregó 'el' antes de 'regalo' para mayor claridad."", ""Se añadió 'un' antes de 'checklist' para completar la acción.""]",False,True
427,14/07/2027,27/07/2027,Texto,Hacer una regalos,Amistad,Salida con amigos,Tarea,Pendiente,4,17,3,0,0,hacer una regalos,Hacer un regalo,2026-02-21T00:00:00,,4,Hacer,"[""Corregido 'regalos' a 'regalo' para que sea singular y más natural.""]",False,True
490,11/09/2027,12/09/2027,Voz,Notas sobre: cumpleanos,Amistad,Salida con amigos,Nota,Pendiente,4,23,3,0,0,notas sobre: cumpleanos,Tomar notas sobre el cumpleaños.,2026-02-21T00:00:00,,7,Tomar,"[""Reformulación de 'notas sobre: cumpleanos' a 'Tomar notas sobre el cumpleaños.'""]",False,True
629,18/03/2026,21/03/2026,Voz,"A ver, tipo llamada con amiga en dos semanas, o sea el 21 de marzo de 2026 a las 8:00.",Amistad,Salida con amigos,Cita,Pendiente,3,86,20,0,1,a ver tipo llamada con amiga en dos semanas o sea el 21 de marzo de 2026 a las 8:00,Llamar a la amiga el 2026-03-21 a las 08:00,2026-03-21T08:00:00,,10,Llamar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la fecha y hora']",False,False
630,04/02/2026,26/02/2026,Voz,"Nomas para que no se te vaya, Entrega de salida con amigas el jueves a las 9:30 (2 hrs).",Amistad,Salida con amigos,Cita,Pendiente,2,88,19,0,1,nomas para que no se te vaya entrega de salida con amigas el jueves a las 9:30 2 hrs,Entregar salida con amigas,2026-02-23T09:30:00,,6,Entregar,['Reformulación para claridad y ejecución'],False,False
631,11/02/2026,20/02/2026,Voz,"Oigan, tipo entrega de llamada con amiga este viernes a las 11:00.",Amistad,Salida con amigos,Cita,Pendiente,4,66,12,0,1,oigan tipo entrega de llamada con amiga este viernes a las 11:00,Hacer una llamada con la amiga a las 11:00,2026-02-24T11:00:00,,10,Hacer,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False
632,20/04/2026,05/05/2026,Voz,"Oigan, o sea planear viaje corto con amigas el 5 de mayo a las 7:30 (45 min).",Amistad,Salida con amigos,Cita,Pendiente,4,77,17,0,1,oigan o sea planear viaje corto con amigas el 5 de mayo a las 7:30 45 min,Planear un viaje corto con amigas.,2026-05-05T07:30:00,,8,Planear,"[""Se eliminó la referencia a '45 min' ya que no es necesaria para la acción principal.""]",False,False
633,08/04/2026,15/04/2026,Voz,"Nomas para que no se te vaya, Cita de brunch con amigas el 15 de abril de 2026 a las 14:00.",Amistad,Salida con amigos,Cita,Pendiente,4,91,21,0,1,nomas para que no se te vaya cita de brunch con amigas el 15 de abril de 2026 a las 14:00,Agendar cita de brunch con amigas,2026-04-15T14:00:00,,7,Agendar,"['Reformulación de la frase para claridad y ejecución', 'Eliminación de información redundante']",False,False
634,10/02/2026,25/02/2026,Voz,"Mira, por fa cumpleanos de amiga este miercoles a las 9:30.",Amistad,Salida con amigos,Cita,Pendiente,1,59,11,0,1,mira por fa cumpleanos de amiga este miercoles a las 9:30,Revisar el cumpleaños de la amiga a las 9:30,2026-02-22T09:30:00,,10,Revisar,"['Reformulación para mayor claridad', 'Ajuste de la fecha y hora']",False,False
646,16/04/2026,26/04/2026,Voz,"Oye, este salida con amigas el 26 de abril de 2026 a las 10:00 (1.5 hrs).",Amistad,Salida con amigos,Cita,Pendiente,3,73,16,0,1,oye este salida con amigas el 26 de abril de 2026 a las 10:00 1 5 hrs,Salir con amigas a las 10:00,2026-04-26T10:00:00,,6,Salir,"['Eliminación de información redundante sobre duración', 'Reformulación para claridad']",False,False
647,22/03/2026,25/03/2026,Voz,"Nomas para que no se te vaya, mmm planear viaje corto con amigas el 25 de marzo a las 16:00 (45 min).",Amistad,Salida con amigos,Cita,Pendiente,3,101,22,0,1,nomas para que no se te vaya mmm planear viaje corto con amigas el 25 de marzo a las 16:00 45 min,Planear un viaje corto con amigas.,2026-03-25T16:00:00,,8,Planear,"[""Eliminación de 'nomas para que no se te vaya mmm'"", 'Ajuste de la hora a la fecha específica']",False,False
655,13/02/2026,23/02/2026,Voz,"A ver, este salida con amigas este lunes a las 6:30.",Amistad,Salida con amigos,Cita,Pendiente,4,52,11,0,1,a ver este salida con amigas este lunes a las 6:30,Ver esta salida con amigas a las 18:30,2026-02-20T18:30:00,,10,Ver,"['Reformulación de la frase para mayor claridad', ""Cambio de '6:30' a '18:30' para formato de 24 horas""]",False,False
57,18/11/2026,10/12/2026,Texto,Donar ropa que no uso,Contribucion,Apoyo Social,Nota,Pendiente,3,21,5,0,0,donar ropa que no uso,Donar ropa que no uso.,2026-02-21T00:00:00,,5,Donar,[],False,True
58,05/08/2027,30/08/2027,Texto,Reciclar botellas de plastico,Contribucion,Apoyo Social,Tarea,Pendiente,4,29,4,0,0,reciclar botellas de plastico,Reciclar botellas de plástico.,2026-02-21T00:00:00,,4,Reciclar,[],False,True
59,01/07/2026,31/07/2026,Voz,Ayudar en el refugio de perros,Contribucion,Apoyo Social,Tarea,Pendiente,4,30,6,0,0,ayudar en el refugio de perros,Ayudar en el refugio de perros,2026-02-21T00:00:00,refugio de perros,6,Ayudar,[],False,True
605,14/02/2026,20/02/2026,Voz,"Nomas para que no se te vaya, mmm clase de donacion a causa este viernes a las 21:00.",Contribucion,Apoyo Social,Cita,Pendiente,2,85,18,0,1,nomas para que no se te vaya mmm clase de donacion a causa este viernes a las 21:00,Asistir a la clase de donación a causa.,2026-02-24T21:00:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False
606,23/02/2026,23/03/2026,Voz,"Nomas para que no se te vaya, mmm donacion de ropa el 23 de marzo a las 8:30 (45 min).",Contribucion,Apoyo Social,Cita,Pendiente,2,86,20,0,1,nomas para que no se te vaya mmm donacion de ropa el 23 de marzo a las 8:30 45 min,Donar ropa el 2026-03-23 a las 08:30.,2026-03-23T08:30:00,,10,Donar,['Se eliminó la ambigüedad y se ajustó la frase para que sea clara y ejecutable.'],False,False
607,02/02/2026,26/02/2026,Voz,"Ehm, Sesion de apoyo en evento comunitario el jueves a las 6:30 (3 hrs).",Contribucion,Apoyo Social,Cita,Pendiente,4,72,14,0,1,ehm sesion de apoyo en evento comunitario el jueves a las 6:30 3 hrs,Agendar sesión de apoyo en evento comunitario a las 18:30.,2026-02-23T18:30:00,,12,Agendar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la hora a formato de 24 horas', 'Eliminación de la duración de 3 hrs ya que no es necesaria']",False,False
608,23/12/2026,30/12/2026,Voz,"Mira, salida de donacion a causa para el 30 de diciembre de 2026 a las 14:00.",Contribucion,Apoyo Social,Cita,Pendiente,4,77,16,0,1,mira salida de donacion a causa para el 30 de diciembre de 2026 a las 14:00,Revisar salida de donación a causa,2026-12-30T14:00:00,,8,Revisar,['Se eliminó la referencia temporal ambigua y se ajustó la frase para mayor claridad.'],False,False
609,02/05/2026,19/05/2026,Voz,"Ehm, clase de visita a asilo (actividad) para el 19 de mayo de 2026 a las 8:00.",Contribucion,Apoyo Social,Cita,Pendiente,4,79,17,0,1,ehm clase de visita a asilo actividad para el 19 de mayo de 2026 a las 8:00,Asistir a la clase de visita a asilo a las 8:00,2026-05-19T08:00:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', 'Extracción de la hora y fecha']",False,False
610,23/02/2026,21/03/2026,Voz,"Oye, este... o sea recolecta de alimentos en dos semanas, o sea el 21 de marzo de 2026 a las 21:00.",Contribucion,Apoyo Social,Cita,Pendiente,1,97,21,0,1,oye este o sea recolecta de alimentos en dos semanas o sea el 21 de marzo de 2026 a las 21:00,Recolectar alimentos,2026-03-21T21:00:00,,3,Recolectar,['Eliminada la ambigüedad y reformulada la frase para mayor claridad.'],False,False
22,20/08/2026,29/08/2026,Voz,leer y escribir,Desarrollo Personal,Lectura,Nota,Pendiente,3,16,3,0,0,leer y escribir,Leer y escribir.,2026-02-21T00:00:00,,4,Leer,[],False,True
29,13/04/2026,22/04/2026,Texto,Leer 10 paginas del libro,Desarrollo Personal,Lectura,Nota,Pendiente,1,25,5,0,0,leer 10 paginas del libro,Leer 10 páginas del libro.,2026-02-21T00:00:00,,7,Leer,[],False,True
