texto_estandar,fecha_detectada,lugar,longitud_tokens,verbo_principal,cambios,es_ambiguo,es_fecha_default,id_original
Llamar a Luis por su cumpleaños.,2026-02-21T00:00:00,,8,Llamar,[],False,True,0
Organizar una carne asada,2026-02-21T00:00:00,,5,Organizar,[],False,True,1
Mandar un mensaje al grupo.,2026-02-21T00:00:00,,7,Mandar,[],False,True,2
Comprar un regalo.,2026-02-21T00:00:00,,4,Comprar,[],False,True,3
Iniciar sesión de regalos,2026-02-21T00:00:00,,5,Iniciar,[],False,True,4
Validar el plan con amigas,2026-02-21T00:00:00,,6,Validar,[],False,True,5
Agendar sesión de regalo.,2026-02-21T00:00:00,,5,Agendar,[],False,True,6
Agregar el regalo al calendario,2026-02-21T00:00:00,,7,Agregar,"[""Reformulación de 'hacer la regalo' a 'Agregar el regalo'""]",False,True,7
Agendar cita de cumpleaños.,2026-02-21T00:00:00,,5,Agendar,"[""Reformulación de 'cita cumpleanos' a 'cita de cumpleaños'.""]",False,True,8
Comprar un regalo.,2026-02-21T00:00:00,,4,Comprar,[],False,True,9
Comprar un regalo,2026-02-21T00:00:00,,4,Comprar,[],False,True,10
Definir un plan con amigas,2026-02-21T00:00:00,,6,Definir,[],False,True,11
Llamar para recoger mis regalos en Notion.,2026-02-21T00:00:00,Notion,10,Llamar,"['Reformulación para mayor claridad', 'Corrección de gramática']",False,True,12
Decidir el regalo,2026-02-21T00:00:00,,4,Decidir,['Reformulación para mayor claridad'],True,True,13
Agendar una cita con amigas,2026-02-21T00:00:00,,6,Agendar,"[""Reformulación de 'cita: plan con amigas' a 'Agendar una cita con amigas'""]",False,True,14
Responder el regalo con un checklist.,2026-02-21T00:00:00,,8,Responder,"[""Se agregó 'el' antes de 'regalo' para mayor claridad."", ""Se añadió 'un' antes de 'checklist' para completar la acción.""]",False,True,15
Hacer un regalo,2026-02-21T00:00:00,,4,Hacer,"[""Corregido 'regalos' a 'regalo' para que sea singular y más natural.""]",False,True,16
Tomar notas sobre el cumpleaños.,2026-02-21T00:00:00,,7,Tomar,"[""Reformulación de 'notas sobre: cumpleanos' a 'Tomar notas sobre el cumpleaños.'""]",False,True,17
Llamar a la amiga el 2026-03-21 a las 08:00,2026-03-21T08:00:00,,10,Llamar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la fecha y hora']",False,False,18
Entregar salida con amigas,2026-02-23T09:30:00,,6,Entregar,['Reformulación para claridad y ejecución'],False,False,19
Hacer una llamada con la amiga a las 11:00,2026-02-24T11:00:00,,10,Hacer,"['Reformulación de la frase para mayor claridad', 'Extracción de la fecha y hora']",False,False,20
Planear un viaje corto con amigas.,2026-05-05T07:30:00,,8,Planear,"[""Se eliminó la referencia a '45 min' ya que no es necesaria para la acción principal.""]",False,False,21
Agendar cita de brunch con amigas,2026-04-15T14:00:00,,7,Agendar,"['Reformulación de la frase para claridad y ejecución', 'Eliminación de información redundante']",False,False,22
Revisar el cumpleaños de la amiga a las 9:30,2026-02-22T09:30:00,,10,Revisar,"['Reformulación para mayor claridad', 'Ajuste de la fecha y hora']",False,False,23
Salir con amigas a las 10:00,2026-04-26T10:00:00,,6,Salir,"['Eliminación de información redundante sobre duración', 'Reformulación para claridad']",False,False,24
Planear un viaje corto con amigas.,2026-03-25T16:00:00,,8,Planear,"[""Eliminación de 'nomas para que no se te vaya mmm'"", 'Ajuste de la hora a la fecha específica']",False,False,25
Ver esta salida con amigas a las 18:30,2026-02-20T18:30:00,,10,Ver,"['Reformulación de la frase para mayor claridad', ""Cambio de '6:30' a '18:30' para formato de 24 horas""]",False,False,26
Donar ropa que no uso.,2026-02-21T00:00:00,,5,Donar,[],False,True,27
Reciclar botellas de plástico.,2026-02-21T00:00:00,,4,Reciclar,[],False,True,28
Ayudar en el refugio de perros,2026-02-21T00:00:00,refugio de perros,6,Ayudar,[],False,True,29
Asistir a la clase de donación a causa.,2026-02-24T21:00:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,30
Donar ropa el 2026-03-23 a las 08:30.,2026-03-23T08:30:00,,10,Donar,['Se eliminó la ambigüedad y se ajustó la frase para que sea clara y ejecutable.'],False,False,31
Agendar sesión de apoyo en evento comunitario a las 18:30.,2026-02-23T18:30:00,,12,Agendar,"['Reformulación de la frase para mayor claridad', 'Ajuste de la hora a formato de 24 horas', 'Eliminación de la duración de 3 hrs ya que no es necesaria']",False,False,32
Revisar salida de donación a causa,2026-12-30T14:00:00,,8,Revisar,['Se eliminó la referencia temporal ambigua y se ajustó la frase para mayor claridad.'],False,False,33
Asistir a la clase de visita a asilo a las 8:00,2026-05-19T08:00:00,,10,Asistir,"['Reformulación de la frase para mayor claridad', 'Extracción de la hora y fecha']",False,False,34
Recolectar alimentos,2026-03-21T21:00:00,,3,Recolectar,['Eliminada la ambigüedad y reformulada la frase para mayor claridad.'],False,False,35
Leer y escribir.,2026-02-21T00:00:00,,4,Leer,[],False,True,36
Leer 10 páginas del libro.,2026-02-21T00:00:00,,7,Leer,[],False,True,37
Estudiar el curso de Python,2026-02-21T00:00:00,,6,Estudiar,[],False,True,38
Meditar 5 minutos,2026-02-21T00:00:00,,3,Meditar,[],False,True,39
Escribir en el diario,2026-02-21T00:00:00,,5,Escribir,[],False,True,40
Revisar los respaldos.,2026-02-21T00:00:00,,4,Revisar,[],False,True,41
Enviar un mensaje pendiente.,2026-02-21T00:00:00,,5,Enviar,[],False,True,42
Reflexionar sobre el sistema en Notion,2026-02-21T00:00:00,,8,Reflexionar,"[""Se agregó 'el' antes de 'sistema' para mayor claridad.""]",False,True,43
Limpiar y actualizar las aplicaciones,2026-02-21T00:00:00,,6,Limpiar,"['Reformulación de la frase para mayor claridad', 'Separación de acciones en dos verbos']",False,True,44
Asistir a la clase con mi sistema en Notion,2026-02-21T00:00:00,,10,Asistir,['Reformulación para mayor claridad y naturalidad'],False,True,45
Investigar mi estilo personal.,2026-02-21T00:00:00,,5,Investigar,[],False,True,46
Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True,47
Visitar para actualizar las aplicaciones.,2026-02-21T00:00:00,,7,Visitar,['Reformulación para mayor claridad y naturalidad.'],False,True,48
Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True,49
Llamar para preguntar sobre los libros.,2026-02-21T00:00:00,,8,Llamar,['Reformulación para mayor claridad y naturalidad.'],False,True,50
Revisar libros,2026-02-21T00:00:00,,3,Revisar,"[""Se eliminó la palabra 'notas' para hacer la instrucción más clara.""]",False,True,51
Revisar mi sistema en Notion,2026-02-21T00:00:00,,6,Revisar,"[""Se eliminó la palabra 'recordatorio' y se ajustó la frase para mayor claridad.""]",False,True,52
Actualizar las aplicaciones.,2026-02-21T00:00:00,,4,Actualizar,[],False,True,53
Llamar a la visita y archivar.,2026-02-21T00:00:00,,10,Llamar,"[""Se agregó 'a' antes de 'la visita' para mayor claridad.""]",False,True,54
Armar la limpieza de fotos,2026-02-21T00:00:00,,6,Armar,['Reformulación para mayor claridad'],False,True,55
Crear flashcards.,2026-02-21T00:00:00,,3,Crear,[],False,True,56
Comprar una limpieza de fotos.,2026-02-21T00:00:00,,7,Comprar,"[""Eliminada la referencia temporal 'esta semana' para establecer una fecha por defecto.""]",False,True,57
Subir una bibliografía y dejar evidencia.,2026-02-21T00:00:00,,10,Subir,[],False,True,58
Asistir a la clase de limpieza de fotos,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad'],False,True,59
Actualizar las aplicaciones.,2026-02-21T00:00:00,,4,Actualizar,[],False,True,60
Respaldar el quiz en Notion,2026-02-21T00:00:00,,6,Respaldar,[],False,True,61
Investigar el mensaje pendiente.,2026-02-21T00:00:00,,5,Investigar,[],False,True,62
Limpiar las fotos.,2026-02-21T00:00:00,,4,Limpiar,[],False,True,63
Agendar una visita,2026-02-21T00:00:00,,4,Agendar,"[""Se eliminó 'y archivar' ya que no se especifica una acción clara.""]",False,True,64
Anotar los libros y confirmar la recepción.,2026-02-21T00:00:00,,10,Anotar,"[""Se ajustó 'una libros' a 'los libros' para concordancia gramatical."", ""Se agregó 'la' antes de 'recepción' para mayor claridad.""]",False,True,65
Renovar el quiz,2026-02-21T00:00:00,,4,Renovar,[],False,True,66
Revisar un quiz en Notion,2026-02-21T00:00:00,Notion,6,Revisar,[],False,True,67
Descargar la actualización de las aplicaciones y confirmar la recepción.,2026-02-21T00:00:00,,15,Descargar,['Reformulación para mayor claridad y naturalidad.'],False,True,68
Limpiar fotos,2026-02-21T00:00:00,,3,Limpiar,[],False,True,69
Registrar la visita,2026-02-21T00:00:00,,4,Registrar,[],False,True,70
Asistir a un evento de estilo personal.,2026-02-21T00:00:00,,7,Asistir,['Reformulación para mayor claridad y naturalidad.'],False,True,71
Estudiar para el quiz.,2026-02-21T00:00:00,,5,Estudiar,[],False,True,72
Entregar la limpieza de fotos.,2026-02-21T00:00:00,,6,Entregar,[],False,True,73
Respaldar el mensaje pendiente.,2026-02-21T00:00:00,,5,Respaldar,[],False,True,74
Reflexionar sobre la limpieza de fotos.,2026-02-21T00:00:00,,7,Reflexionar,[],False,True,75
Revisar opciones para el mensaje pendiente.,2026-02-21T00:00:00,,10,Revisar,[],False,True,76
Registrar la bibliografía y dar seguimiento.,2026-02-21T00:00:00,,10,Registrar,"[""Se agregó 'la' antes de 'bibliografía' para mayor claridad.""]",False,True,77
Definir mi estilo personal,2026-02-21T00:00:00,,5,Definir,['Reformulación para claridad y ejecución'],False,True,78
Ordenar pensamientos el 2026-03-21 a las 9:00.,2026-03-21T09:00:00,,10,Ordenar,"['Reformulación de la frase para mayor claridad', 'Eliminación de palabras innecesarias']",False,False,79
Agendar sesión de bloque para ordenar pensamientos.,2026-02-22T11:00:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,80
Agendar cita para planear la semana.,2023-11-26T21:00:00,,8,Agendar,"[""Se eliminó la referencia a 'oigan' para mayor claridad."", 'Se ajustó la frase para que sea más natural y ejecutable.']",False,False,81
Leer en calma el 4 de noviembre de 2027 a las 8:30.,2027-11-04T08:30:00,,10,Leer,['Reformulación de la frase para mayor claridad y naturalidad.'],False,False,82
Agendar junta de bloque para ordenar pensamientos.,2026-02-21T08:30:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,83
Revisar la salida de reset del cuarto,2027-03-02T16:00:00,,8,Revisar,"['Eliminación de información temporal innecesaria', 'Ajuste de la frase para mayor claridad']",False,False,84
Revisar la lección del curso en línea el miércoles a las 17:00 por 2 horas.,2026-02-22T17:00:00,,17,Revisar,"['Se ajustó la frase para mayor claridad y naturalidad.', 'Se especificó la duración de la revisión.']",False,False,85
Agendar sesión de estudio del diplomado el 2026-02-23 a las 21:00,2026-02-23T21:00:00,,10,Agendar,"['Se eliminó la ambigüedad sobre el cambio de fecha y se estableció una fecha concreta.', 'Se ajustó la redacción para mayor claridad.']",False,False,86
Asistir a la clase de francés el 2026-02-25T09:00:00.,2026-02-25T09:00:00,,10,Asistir,"['Reformulación de la frase para claridad', 'Eliminación de información sobre el cambio de fecha']",False,False,87
Agendar evento de plan mensual de hábitos a las 9:30,2026-05-12T09:30:00,,10,Agendar,"['Reformulación de la frase para mayor claridad', 'Eliminación de palabras innecesarias']",False,False,88
Aprender Python este lunes a las 15:00.,2026-02-20T15:00:00,,7,Aprender,"['Eliminada la parte sobre el bloque y la fecha del 20 de agosto, ya que no era necesaria para la instrucción principal.']",False,False,89
Asistir a la clase de portugués el 2026-02-23T18:30:00 o el 2026-06-25T18:30:00 si se mueve.,2026-02-23T18:30:00,,22,Asistir,"['Reformulación de la frase para mayor claridad y ejecución', 'Extracción de fechas específicas']",True,False,90
Leer un capítulo de un libro el 2026-02-19 a las 10:30,2026-02-19T10:30:00,,12,Leer,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante sobre el cambio de fecha']",False,False,91
Agendar sesión de cita para manicure el 2027-03-08 a las 08:30.,2027-03-08T08:30:00,,15,Agendar,"[""Se eliminó la referencia a 'el próximo año' ya que se especificó una fecha exacta."", 'Se ajustó la hora a un formato estándar.']",False,False,92
Entregar la práctica de speaking en inglés el sábado a las 9:30.,2026-02-25T09:30:00,,14,Entregar,"['Reformulación de la frase para mayor claridad', 'Eliminación de información redundante']",False,False,93
Planear un viaje a la playa,2026-02-21T00:00:00,playa,7,Planear,[],False,True,94
Ir al cine.,2026-02-24T00:00:00,cine,4,Ir,"[""Se eliminó la referencia temporal 'el viernes' y se estableció la fecha correspondiente.""]",False,False,95
Jugar Warzone con amigos,2026-02-21T00:00:00,,5,Jugar,[],False,True,96
Agendar una cita en el hotel,2026-02-21T00:00:00,hotel,7,Agendar,"[""Reformulación de 'cita: hotel' a 'Agendar una cita en el hotel'""]",False,True,97
Visitar Amazon,2026-02-21T00:00:00,,3,Visitar,[],False,True,98
